Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.,Invoice Date,Submitted Date,Amount,Remarks (If any),DC Number,Original DC,, Overdue Days ,
4883-2530,4883-,3571,Ghulam Muhammad Sons,4883,,2530,0237,15-Jun-19,19-Jun-19,"16,950.00",,,,,,
3661-337,3661-195,3572,Jamaly Enterprises,3661,195,337,3001,10-Jun-19,19-Jun-19,"125,307.00",,,,,,
3661-334,3661-180,3573,Jamaly Enterprises,3661,180,334,3001,10-Jun-19,19-Jun-19,"125,307.00",,,,,,
4839-1020,4839-,3574,Naseer Autos,4839,,1020,1900/04452,10-Apr-19,19-Jun-19,"73,164.00",,,,,,
4153-2519,4153-1413,3575,Micro Scientific,4153,1413,2519,13038,16-Jun-19,19-Jun-19,"94,185.00",,,,,,
4980-,4980-3452,3576,Aman Enterprise,4980,3452,,526,13-Jun-19,19-Jun-19,"40,000.00",,,,,,
3641-2856,3641-3038,3577,Metier Plastic,3641,3038,2856,18190280,08-Apr-19,19-Jun-19,"102,375.00",,,,,,
3765-3151,3765-3376,3578,IDEAPAC,3765,3376,3151,1048,03-Jun-19,20-Jun-19,"221,130.00",,,,,,
2880-2533,2880-,3579,IZEE TECH ENGINEERING,2880,,2533,172,18-Jun-19,20-Jun-19,"31,000.00",,,,,,
2880-2531,2880-,3580,IZEE TECH ENGINEERING,2880,,2531,298,18-Jun-19,20-Jun-19,"31,000.00",,,,,,
2060-2534,2060-,3581,Orient Rental Modarba,2060,,2534,RSRB1906016,03-Jun-19,20-Jun-19,"184,000.00",,,,,,
3418-,3418-1422,3582,Syed Enterprise,3418,1422,,327,18-Jun-19,20-Jun-19,"509,250.00",,,,,,
3418-,3418-1421,3583,Syed Enterprise,3418,1421,,327,18-Jun-19,20-Jun-19,"509,250.00",,,,,,
3418-,3418-1420,3584,Syed Enterprise,3418,1420,,327,18-Jun-19,20-Jun-19,"509,250.00",,,,,,
3418-,3418-1419,3585,Syed Enterprise,3418,1419,,327,18-Jun-19,20-Jun-19,"509,250.00",,,,,,
3418-,3418-1418,3586,Syed Enterprise,3418,1418,,328,18-Jun-19,20-Jun-19,"65,550.00",,,,,,
1379-2523,1379-1417,3587,Syed Enterprise,1379,1417,2523,329,18-Jun-19,20-Jun-19,"325,000.00",,,,,,
1853-2522,1853-1416,3588,Dimensions,1853,1416,2522,102113,17-Jun-19,21-Jun-19,"1,877,457.00",,,,,,
3190-2564,3190-,3589,Pakistan Oxygen ,3190,,2564,371521079,13-Jun-19,21-Jun-19,"23,400.00",,,,,,
5015-1019,5015-974,3590,Hyder Ali & Co,5015,974,1019,1058625,18-Jun-19,21-Jun-19,"3,510.00",,,,,,
5027-2513,5027-1407,3591,Tanvir Packages,5027,1407,2513,9312,14-Jun-19,21-Jun-19,"51,480.00",,,,,,
4556-2490,4556-1399,3592,Javed Chemical ,4556,1399,2490,21190,12-Jun-19,21-Jun-19,"126,360.00",,,,,,
2025-,2025-3465,3593,Iftikhar International,2025,3465,,M/783,18-Jun-19,21-Jun-19,"113,666.00",,,,,,
4600-,4600-3412,3594,Iftikhar International,4600,3412,,P/030,11-Jun-19,21-Jun-19,"29,961.00",,,,,,
4284-,4284-3411,3595,Iftikhar International,4284,3411,,P/031,11-Jun-19,21-Jun-19,"67,851.00",,,,,,
4476-,4476-3413,3596,Iftikhar International,4476,3413,,P/032,11-Jun-19,21-Jun-19,"28,314.00",,,,,,
4476-,4476-3414,3597,Iftikhar International,4476,3414,,P/033,11-Jun-19,21-Jun-19,"24,762.00",,,,,,
5172-3289,5172-3430,3598,Sogo Corporation ,5172,3430,3289,SC-104903,13-Jun-19,24-Jun-19,"152,936.55",,,,,,
4961-,4961-3449,3599,Metier Impressions,4961,3449,,18190605,17-Jun-19,24-Jun-19,"61,010.00",,,,,,
4792-,4792-3450,3600,Metier Impressions,4792,3450,,18190606,17-Jun-19,24-Jun-19,"107,926.00",,,,,,
4792-,4792-3451,3601,Metier Impressions,4792,3451,,18190606,17-Jun-19,24-Jun-19,"107,926.00",,,,,,
4251-,4251-3455,3602,Metier Impressions,4251,3455,,18190607,17-Jun-19,24-Jun-19,"34,686.00",,,,,,
2592-,2592-3461,3603,Metier Plastic,2592,3461,,18190377,18-Jun-19,24-Jun-19,"1,151,046.00",,,,,,
2592-3235,2592-3462,3604,Metier Plastic,2592,3462,3235,18190377,18-Jun-19,24-Jun-19,"1,151,046.00",,,,,,
2592-3236,2592-3463,3605,Metier Plastic,2592,3463,3236,18190377,18-Jun-19,24-Jun-19,"1,151,046.00",,,,,,
4820-3237,4820-3464,3606,Metier Plastic,4820,3464,3237,18190378,18-Jun-19,24-Jun-19,"196,560.00",,,,,,
2592-,2592-3467,3607,Metier Plastic,2592,3467,,18190379,18-Jun-19,24-Jun-19,"993,330.00",,,,,,
2592-,2592-3468,3608,Metier Plastic,2592,3468,,18190379,18-Jun-19,24-Jun-19,"993,330.00",,,,,,
4907-3239,4907-3466,3609,Metier Plastic,4907,3466,3239,18190380,18-Jun-19,24-Jun-19,"46,332.00",,,,,,
2592-3231,2592-3517,3610,Metier Plastic,2592,3517,3231,18190381,19-Jun-19,24-Jun-19,"879,840.00",,,,,,
2536-,2536-3448,3611,Metier Ampoule ,2536,3448,,18190097,17-Jun-19,24-Jun-19,"344,963.00",,,,,,
4999-3232,4999-3519,3612,Metier Ampoule ,4999,3519,3232,18190100,19-Jun-19,24-Jun-19,"507,593.00",,,,,,
3275-3241,3275-3518,3613,Metier Ampoule ,3275,3518,3241,18190101,19-Jun-19,24-Jun-19,"356,722.00",,,,,,
3275-3233,3275-3522,3614,Metier Ampoule ,3275,3522,3233,18190098,19-Jun-19,24-Jun-19,"813,127.00",,,,,,
4566-3242,4566-3520,3615,Metier Ampoule ,4566,3520,3242,18190099,19-Jun-19,24-Jun-19,"542,599.00",,,,,,
4566-3225,4566-3446,3616,Metier Ampoule ,4566,3446,3225,18190096,15-Jun-19,24-Jun-19,"525,096.00",,,,,,
4825-3243,4825-3458,3617,Jamaly Enterprises,4825,3458,3243,3100,19-Jun-19,24-Jun-19,"303,264.00",,,,,,
5115-,5115-3459,3618,SWS Pvt Ltd,5115,3459,,1786/06/2019,12-Jun-19,24-Jun-19,"115,830.00",,,,,,
5098-2570,5098-,3619,Abdul Hadi Computers,5098,,2570,BP 49,21-Jun-19,24-Jun-19,"3,350.00",,,,,,
5060-,5060-1446,3620,Maxim Pakistan ,5060,1446,,MXP738/06,24-Jun-19,24-Jun-19,"139,230.00",,,,,,
5231-,5231-1447,3621,Interlink Engineering ,5231,1447,,9048/18-19,24-Jun-19,24-Jun-19,"78,624.00",,,,,,
5231-,5231-1448,3622,Interlink Engineering ,5231,1448,,9047/18-19,24-Jun-19,24-Jun-19,"59,670.00",,,,,,
4936-2393,4936-,3623,AL MURTAZA BROTHERS,4936,,2393,12041,14-May-19,14-May-19,"12,000.00",,,,,,
2880-2532,2880-,3624,IZEE TECH ENGINEERING,2880,,2532,298,18-Jun-19,18-Jun-19,"31,000.00",,,,,,
3018-2565,3018-,3625,Limton Customer Care,3018,,2565,S06.000243,23-Oct-18,23-Oct-18,"64,431.00",,,,,,
3018-2566,3018-,3626,Limton Customer Care,3018,,2566,S06.000244,23-Oct-18,23-Oct-18,"62,525.00",,,,,,
4676-2567,4676-,3627,LIMTON CUSTOMER CARE,4676,,2567,S06.000775,07-May-19,07-May-19,"32,146.00",,,,,,
4233-2298,4233-,3628,Muhammad Ahsan Contractor,4233,,2298,4233-56,27-Apr-19,27-Apr-19,"26,500.00",,,,,,
4496-2557,4496-,3629,Muhammad Ahsan Contractor,4496,,2557,4496-61,17-Jun-19,17-Jun-19,"9,000.00",,,,,,
4780-2389,4780-,3630,Muhammad Ahsan Contractor,4780,,2389,4780-57,20-May-19,20-May-19,"569,430.00",,,,,,
2585-2511,2585-,3631,PHARMAGUIDE PUBLISHING,2585,,2511,Sals/457/19,10-May-19,20-May-19,"406,250.00",,,,,,
5036-2509,5036-,3632,RIAZ MOTORS,5036,,2509,18/03570,14-Jun-19,14-Jun-19,"2,163.00",,,,,,
5036-1014,5036-969,3633,RIAZ MOTORS,5036,969,1014,18/03570,14-Jun-19,14-Jun-19,"2,163.00",,,,,,
4789-875,4789-,3634,WAHEED BHAI CARPENTER,4789,,875,4789/55,20-Apr-19,20-Apr-19,"24,146.00",,,,,,
4789-2264,4789-,3635,WAHEED BHAI CARPENTER,4789,,2264,4789/55,20-Apr-19,20-Apr-19,"24,146.00",,,,,,
3313-2357,3313-,3636,ZEPHYR WASTE SOLUTIONS,3313,,2357,ZWS-002130,23-Oct-18,10-May-19,"102,540.00",,,,,,
3313-2356,3313-,3637,ZEPHYR WASTE SOLUTIONS,3313,,2356,ZWS-002129,23-Oct-18,10-May-19,"94,841.00",,,,,,
3661-333,3661-179,3638,Jamaly Enterprises,3661,179,333,3001,10-Jun-19,19-Jun-19,"125,307.00",,,,,,
2592-2770,2592-2930,3639,Metier Plastic,2592,2930,2770,18190286,11-Apr-19,11-Apr-19,"800,631.00",,,,,,
2592-2880,2592-2931,3640,Metier Plastic,2592,2931,2880,18190286,11-Apr-19,11-Apr-19,"800,631.00",,,,,,
2592-3253,2592-3546,3641,Metier Plastic,2592,3546,3253,18190382,20-Jun-19,25-Jun-19,"1,316,016.00",,,,,,
2592-3255,2592-3548,3642,Metier Plastic,2592,3548,3255,18190382,20-Jun-19,25-Jun-19,"1,316,016.00",,,,,,
2592-3254,2592-3547,3643,Metier Plastic,2592,3547,3254,18190382,20-Jun-19,25-Jun-19,"1,316,016.00",,,,,,
4820-3257,4820-3553,3644,Metier Plastic,4820,3553,3257,18190384,21-Jun-19,25-Jun-19,"196,560.00",,,,,,
2592-,2592-3566,3645,Metier Plastic,2592,3566,,18190385,21-Jun-19,25-Jun-19,"994,500.00",,,,,,
2592-,2592-3567,3646,Metier Plastic,2592,3567,,18190385,21-Jun-19,25-Jun-19,"994,500.00",,,,,,
2592-,2592-3568,3647,Metier Plastic,2592,3568,,18190386,24-Jun-19,25-Jun-19,"557,856.00",,,,,,
2592-,2592-3571,3648,Metier Plastic,2592,3571,,18190387,24-Jun-19,25-Jun-19,"224,640.00",,,,,,
3806-,3806-3572,3649,Metier Plastic,3806,3572,,18190388,24-Jun-19,25-Jun-19,"26,325.00",,,,,,
4671-,4671-3550,3650,Metier Impressions,4671,3550,,18190608,20-Jun-19,25-Jun-19,"110,857.00",,,,,,
4671-,4671-3549,3651,Metier Impressions,4671,3549,,18190609,20-Jun-19,25-Jun-19,"110,857.00",,,,,,
3522-,3522-3565,3652,Metier Impressions,3522,3565,,18190610,21-Jun-19,25-Jun-19,"274,464.00",,,,,,
3522-,3522-3564,3653,Metier Impressions,3522,3564,,18190611,21-Jun-19,25-Jun-19,"279,256.00",,,,,,
3673-,3673-3563,3654,Metier Impressions,3673,3563,,18190612,21-Jun-19,25-Jun-19,"303,129.00",,,,,,
5000-,5000-3562,3655,Metier Impressions,5000,3562,,18190613,21-Jun-19,25-Jun-19,"263,962.00",,,,,,
4539-,4539-3561,3656,Metier Impressions,4539,3561,,18190614,21-Jun-19,25-Jun-19,"403,062.00",,,,,,
3681-,3681-3560,3657,Metier Impressions,3681,3560,,18190615,21-Jun-19,25-Jun-19,"226,074.00",,,,,,
3681-,3681-3570,3658,Metier Impressions,3681,3570,,18190616,24-Jun-19,25-Jun-19,"837,311.00",,,,,,
3673-,3673-205,3659,Metier Impressions,3673,205,,18190617,24-Jun-19,25-Jun-19,"317,918.00",,,,,,
4510-,4510-1451,3660,Metier Impressions,4510,1451,,18190618,24-Jun-19,25-Jun-19,"470,239.00",,,,,,
2592-3258,2592-3554,3661,Metier Plastic,2592,3554,3258,18190383,21-Jun-19,25-Jun-19,"671,580.00",,,,,,
2592-3259,2592-3555,3662,Metier Plastic,2592,3555,3259,18190383,21-Jun-19,25-Jun-19,"671,580.00",,,,,,
5056-,5056-3558,3663,United Tubes,5056,3558,,26372,20-Jun-19,25-Jun-19,"44,701.00",,,,,,
4657-3265,4657-3460,3664,Gelcaps Pakistan,4657,3460,3265,34074,18-Jun-19,25-Jun-19,"195,300.00",,,,,,
3355-2546,3355-1429,3665,Javed Chemical ,3355,1429,2546,21202,20-Jun-19,25-Jun-19,"7,224.75",,,,,,
3229-2548,3229-1431,3666,Javed Chemical ,3229,1431,2548,212003,20-Jun-19,25-Jun-19,"14,625.00",,,,,,
3960-2547,3960-1430,3667,Javed Chemical ,3960,1430,2547,21204,20-Jun-19,25-Jun-19,"39,780.00",,,,,,
4135-2549,4135-1432,3668,Javed Chemical ,4135,1432,2549,21205,20-Jun-19,25-Jun-19,"144,495.00",,,,,,
4706-893,4706-847,3669,Honda Shahrah-E-Faisal,4706,847,893,"50948, 49959",30-Apr-19,30-Apr-19,"24,856.00",,,,,,
1724-2235,1724-,3670,AMMAR INTERIOR,1724,,2235,Brookes/0012/08-18,09-Apr-19,09-Apr-19,"21,840,238.00",,,,,,
5146-2584,5146-,3671,IZEE TECH ENGINEERING,5146,,2584,193,12-Jun-19,26-Jun-19,"54,000.00",,,,,,
5165-3248,5165-3433,3672,A. M Yousaf,5165,3433,3248,AMY/2392,13-Jun-19,26-Jun-19,"128,232.00",,,,,,
5165-3246,5165-3434,3673,A. M Yousaf,5165,3434,3246,AMY/2392,13-Jun-19,26-Jun-19,"128,232.00",,,,,,
4646-3251,4646-3445,3674,Brothers Enterprises,4646,3445,3251,94408,15-Jun-19,26-Jun-19,"102,375.00",,,,,,
4918-2558,4918-,3675,MUHAMMAD AHSAN CONTRACTOR,4918,,2558,4918-62,15-Jun-19,17-Jun-19,"27,000.00",,,,,,
5079-2581,5079-,3676,Habib & Sons,5079,,2581,3148,25-Jun-19,27-Jun-19,"390,300.00",,,,,,
5131-1033,5131-987,3677,A. G. Associates,5131,987,1033,3040,24-Jun-19,27-Jun-19,"19,500.00",,,,,,
5131-2586,5131-,3678,A. G. Associates,5131,,2586,3040,24-Jun-19,27-Jun-19,"19,500.00",,,,,,
5145-1043,5145-996,3679,Ammar Electric,5145,996,1043,2374,26-Jun-19,27-Jun-19,"8,190.00",,,,,,
5135-1044,5135-997,3680,Ammar Electric,5135,997,1044,2373,26-Jun-19,27-Jun-19,"26,325.00",,,,,,
5225-1042,5225-995,3681,Ammar Electric,5225,995,1042,2372,26-Jun-19,27-Jun-19,"80,379.00",,,,,,
5224-1041,5224-994,3682,Ammar Electric,5224,994,1041,2375,26-Jun-19,27-Jun-19,"8,190.00",,,,,,
4677-1039,4677-993,3683,Imran Engineering,4677,993,1039,140,26-Jun-19,27-Jun-19,"204,500.00",,,,,,
3664-,3664-206,3684,SWS Pvt Ltd,3664,206,,1793/06/2019,26-Jun-19,27-Jun-19,"214,812.00",,,,,,
4186-,4186-3447,3685,Brothers Enterprises,4186,3447,,94407,15-Jun-19,27-Jun-19,"26,325.00",,,,,,
4717-2396,4717-1340,3686,Zauq International,4717,1340,2396,12-225,21-Jun-19,27-Jun-19,"807,300.00",,,,,,
4717-2376,4717-1327,3687,Zauq International,4717,1327,2376,12-225,21-Jun-19,27-Jun-19,"807,300.00",,,,,,
4697-,4697-3557,3688,Iftikhar International,4697,3557,,P/037,21-Jun-19,27-Jun-19,"36,476.00",,,,,,
4697-,4697-3556,3689,Iftikhar International,4697,3556,,P/038,21-Jun-19,27-Jun-19,"35,999.00",,,,,,
5087-1047,5087-1000,3690,Imran Engineering,5087,1000,1047,144,27-Jun-19,27-Jun-19,"9,000.00",,,,,,
5084-2591,5084-,3691,SNA Motors,5084,,2591,14080,17-Apr-19,28-Jun-19,565.00,,,,,,
4717-2574,4717-1449,3692,Zauq International,4717,1449,2574,19-234,26-Jun-19,28-Jun-19,"374,400.00",,,,,,
5267-2602,5267-1468,3693,Musaji Adam & sons,5267,1468,2602,Khi-3527,27-Jun-19,28-Jun-19,"150,696.00",,,,,,
4427-2597,4427-1467,3694,M.A Printer,4427,1467,2597,50,27-Jun-19,28-Jun-19,"22,134.00",,,,,,
5017-2520,5017-1414,3695,Pakistan Oxygen ,5017,1414,2520,371523250,25-Jun-19,28-Jun-19,"19,864.85",,,,,,
5017-2598,5017-,3696,Pakistan Oxygen ,5017,,2598,371523250,25-Jun-19,28-Jun-19,"19,864.85",Services,,,,,
5017-2563,5017-1443,3697,Pakistan Oxygen ,5017,1443,2563,371523252,25-Jun-19,28-Jun-19,"12,297.29",,,,,,
5017-2599,5017-,3698,Pakistan Oxygen ,5017,,2599,371523252,25-Jun-19,28-Jun-19,"12,297.29",Services,,,,,
5017-2562,5017-1442,3699,Pakistan Oxygen ,5017,1442,2562,371523251,25-Jun-19,28-Jun-19,"70,756.69",,,,,,
5017-2601,5017-,3700,Pakistan Oxygen ,5017,,2601,371523251,25-Jun-19,28-Jun-19,"70,756.69",Services,,,,,
5017-2483,5017-1395,3701,Pakistan Oxygen ,5017,1395,2483,371523249,25-Jun-19,28-Jun-19,"78,229.65",,,,,,
5017-2600,5017-,3702,Pakistan Oxygen ,5017,,2600,371523249,25-Jun-19,28-Jun-19,"78,229.65",Services,,,,,
5085-1038,5085-992,3703,Defence Battery ,5085,992,1038,"004245, 004406",16-Apr-19,28-Jun-19,"8,500.00",,,,,,
5179-3250,5179-3443,3704,Sabcon Chemicals,5179,3443,3250,SAB/2747,14-Jun-19,28-Jun-19,"18,428.00",,,,,,
5027-2513,5027-1409,3705,Tanvir Packages,5027,1409,2513,9312,14-Jun-19,28-Jun-19,"51,480.00",,,,,,
1377-2439,1377-1366,3706,Syed Enterprise,1377,1366,2439,330,30-May-19,28-Jun-19,"361,775.00",,,,,,
4617-1021,4617-976,3707,IZEE TECH ENGINEERING,4617,976,1021,196,28-Jun-19,28-Jun-19,"135,000.00",,,,,,
4617-2529,4617-1423,3708,IZEE TECH ENGINEERING,4617,1423,2529,196,28-Jun-19,28-Jun-19,"48,500.00",,,,,,
5315-1049,5315-1002,3709,Zahir Engineering,5315,1002,1049,191/Brookes,26-Jun-19,28-Jun-19,"223,071.00",,,,,,
3262-2561,3262-1441,3710,Thermoline Pvt Ltd,3262,1441,2561,2019/2308,20-Jun-19,01-Jul-19,"171,793.44",,,,,,
3262-2491,3262-1400,3711,Thermoline Pvt Ltd,3262,1400,2491,2019/2244,11-Jun-19,01-Jul-19,"78,427.44",,,,,,
3262-2504,3262-1404,3712,Thermoline Pvt Ltd,3262,1404,2504,2019/2260,13-Jun-19,01-Jul-19,"78,427.44",,,,,,
5118-2596,5118-1466,3713,Mint Printers,5118,1466,2596,21861,27-Jun-19,01-Jul-19,"206,388.00",,,,,,
5118-2595,5118-1465,3714,Mint Printers,5118,1465,2595,21861,27-Jun-19,01-Jul-19,"206,388.00",,,,,,
5173-,5173-3541,3715,Brothers Enterprises,5173,3541,,94533,20-Jun-19,01-Jul-19,"41,828.00",Commerical Invoice,,,,,
4186-,4186-3542,3716,Brothers Enterprises,4186,3542,,94532,20-Jun-19,01-Jul-19,"26,325.00",Commerical Invoice,,,,,
5173-,5173-3543,3717,Brothers Enterprises,5173,3543,,94531,20-Jun-19,01-Jul-19,"17,550.00",Commerical Invoice,,,,,
4646-3251,4646-3445,3718,Brothers Enterprises,4646,3445,3251,94408,15-Jun-19,01-Jul-19,"102,375.00",Commerical Invoice,,,,,
4186-,4186-3447,3719,Brothers Enterprises,4186,3447,,94407,15-Jun-19,01-Jul-19,"26,325.00",Commerical Invoice,,,,,
4766-3132,4766-3384,3720,Khan Packages ,4766,3384,3132,1030,03-Jun-19,01-Jul-19,"192,002.27",,,,,,
4054-,4054-3385,3721,Khan Packages ,4054,3385,,1030,03-Jun-19,01-Jul-19,"192,002.27",,,,,,
4766-3266,4766-3569,3722,Khan Packages ,4766,3569,3266,1035,24-Jun-19,01-Jul-19,"219,866.40",,,,,,
5026-,5026-1450,3723,Khan Packages ,5026,1450,,1035,24-Jun-19,01-Jul-19,"219,866.40",,,,,,
4833-,4833-3435,3724,Khan Packages ,4833,3435,,1031,13-Jun-19,01-Jul-19,"196,560.00",,,,,,
4833-,4833-3454,3725,Khan Packages ,4833,3454,,1032,17-Jun-19,01-Jul-19,"65,932.32",,,,,,
4752-,4752-1415,3726,Khan Packages ,4752,1415,,1032,17-Jun-19,01-Jul-19,"65,932.32",,,,,,
4833-,4833-3469,3727,Khan Packages ,4833,3469,,1033,18-Jun-19,01-Jul-19,"77,099.43",,,,,,
3309-,3309-3470,3728,Khan Packages ,3309,3470,,1033,18-Jun-19,01-Jul-19,"77,099.43",,,,,,
4833-,4833-3544,3729,Khan Packages ,4833,3544,,1034,20-Jun-19,01-Jul-19,"204,422.40",,,,,,
4054-,4054-3545,3730,Khan Packages ,4054,3545,,1034,20-Jun-19,01-Jul-19,"204,422.40",,,,,,
2165-3269,2165-3583,3731,Khan Packages ,2165,3583,3269,1036,25-Jun-19,01-Jul-19,"74,922.12",,,,,,
4054-,4054-3582,3732,Khan Packages ,4054,3582,,1036,25-Jun-19,01-Jul-19,"74,922.12",,,,,,
2515-,2515-3610,3733,Khan Packages ,2515,3610,,1037,27-Jun-19,01-Jul-19,"173,918.25",,,,,,
2165-3310,2165-3611,3734,Khan Packages ,2165,3611,3310,1037,27-Jun-19,01-Jul-19,"173,918.25",,,,,,
5171-,5171-3624,3735,Khan Packages ,5171,3624,,1038,28-Jun-19,01-Jul-19,"85,363.20",,,,,,
4682-2516,4682-1410,3736,Pak Gases,4682,1410,2516,4680,15-Jun-19,01-Jul-19,"1,695.50",Commerical Invoice,,,,,
5219-1045,5219-998,3737,Mia Corporation,5219,998,1045,MIA/2019/JUNE/004,28-Jun-19,01-Jul-19,"9,360.00",,,,,,
5342-,5342-3617,3738,Martin Dow,5342,3617,,9200008011,28-Jun-19,01-Jul-19,"210,600.00",,,,,,
5342-,5342-3618,3739,Martin Dow,5342,3618,,9200008011,28-Jun-19,01-Jul-19,"210,600.00",,,,,,
5125-1052,5125-1005,3740,F.N Traders,5125,1005,1052,FN-1066,28-Jun-19,01-Jul-19,"9,360.00",,,,,,
5001-,5001-3539,3741,Rafhan Maize,5001,3539,,7010388900,18-Jun-19,01-Jul-19,"222,400.00",,,,,,
2592-,2592-3594,3742,Metier Plastic,2592,3594,,18190392,26-Jun-19,01-Jul-19,"92,280.00",,,,,,
4566-,4566-3584,3743,Metier Ampoule ,4566,3584,,18190102,25-Jun-19,01-Jul-19,"537,129.00",,,,,,
4961-,4961-3593,3744,Metier Impressions,4961,3593,,18190628,26-Jun-19,01-Jul-19,"151,804.00",,,,,,
3673-,3673-207,3745,Metier Impressions,3673,207,,18190627,26-Jun-19,01-Jul-19,"584,164.00",,,,,,
2077-,2077-1459,3746,Metier Impressions,2077,1459,,18190626,26-Jun-19,01-Jul-19,"104,566.00",,,,,,
4510-,4510-1461,3747,Metier Impressions,4510,1461,,18190625,26-Jun-19,01-Jul-19,"115,779.00",,,,,,
4358-,4358-3597,3748,Metier Impressions,4358,3597,,18190624,26-Jun-19,01-Jul-19,"9,828.00",,,,,,
4358-,4358-3596,3749,Metier Impressions,4358,3596,,18190623,26-Jun-19,01-Jul-19,"99,263.00",,,,,,
3336-,3336-3595,3750,Metier Impressions,3336,3595,,18190622,26-Jun-19,01-Jul-19,"239,226.00",,,,,,
3681-,3681-3586,3751,Metier Impressions,3681,3586,,18190621,25-Jun-19,01-Jul-19,"952,301.00",,,,,,
5210-,5210-3574,3752,Metier Impressions,5210,3574,,18190620,25-Jun-19,01-Jul-19,"168,434.00",,,,,,
