,Sr,Item Code,Item Name,Supplier / Department,PO No.,DC Number,MRR No.,Shipment No.,Lot No.,Potency,Requested Date,Receiving Date,Quantity ,UOM,Sample Date,Release Status,Rel / Rej / Hold Date,Manufacturer
33,23,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,16514,105,571,,13070,-,2023-05-22 00:00:00,2023-06-15 00:00:00,1040,Numbers,2023-06-15 00:00:00,Released,2023-07-12 00:00:00,
34,24,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,16277,585,573,,13126,-,2023-03-27 00:00:00,2023-07-03 00:00:00,25000,Numbers,2023-07-04 00:00:00,Released,2023-07-12 00:00:00,
35,25,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,16516,586,574,,13127,-,2023-04-28 00:00:00,2023-07-03 00:00:00,19100,Numbers,2023-07-04 00:00:00,Released,2023-07-12 00:00:00,
36,26,1309-00276-2017,INSERT INCETAX INJECTION - (EXPORT) - Export Group 17,METIER IMPRESSIONS (PVT) LTD.,16907,23240003,575,,13143,-,2023-07-10 00:00:00,2023-07-06 00:00:00,27000,Numbers,2023-07-06 00:00:00,Released,2023-07-12 00:00:00,
37,27,1308-00689-2017,CARTON INCETAX 1.00gm INJECTION (EXPORT) C/P - Export Group 17,METIER IMPRESSIONS (PVT) LTD.,16951,23240020,576,,13175,-,2023-07-10 00:00:00,2023-07-12 00:00:00,36400,Numbers,2023-07-12 00:00:00,Released,2023-07-17 00:00:00,
38,28,1308-00690-2017,CARTON RYXON 1gm INJECTION (EXPORT) C/P - Export Group 17,METIER IMPRESSIONS (PVT) LTD.,16951,23240020,577,,13176,-,2023-07-10 00:00:00,2023-07-12 00:00:00,18370,Numbers,2023-07-12 00:00:00,Released,2023-07-17 00:00:00,
39,29,1307-00222-2017,STICKER INCETAX 1.00gm INJECTION (EXPORT) C/P - Export Group 17,AN TRADERS,16906,598,579,,13193,-,2023-07-10 00:00:00,2023-07-13 00:00:00,25000,Numbers,2023-07-14 00:00:00,Released,2023-07-17 00:00:00,
40,30,1110-00004-1001,MOULDED CLEAR GLASS VIAL 15ml - Common Material,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",16886,BPL20230003,580,133.1,13255,-,2023-06-20 00:00:00,2023-07-27 00:00:00,250800,Numbers,2023-07-31 00:00:00,Released,2023-08-04 00:00:00,"SHANDONG PHARMACEUTICAL GLASS CO., LTD."
41,31,1307-00223-2017,STICKER RYXON 1gm INJECTION (EXPORT) C/P - Export Group 17,AN TRADERS,16906,1327,581,,13292,-,2023-07-10 00:00:00,2023-08-08 00:00:00,27050,Numbers,2023-08-09 00:00:00,Released,2023-08-09 00:00:00,
42,32,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,17035,1333,582,,13325,-,2023-08-28 00:00:00,2023-08-15 00:00:00,250000,Numbers,2023-08-16 00:00:00,Released,2023-08-18 00:00:00,
43,33,1110-00004-1001,MOULDED CLEAR GLASS VIAL 15ml - Common Material,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",17012,BPL20230004,583,134.1,13326,-,2023-09-30 00:00:00,2023-08-16 00:00:00,250800,Numbers,2023-08-17 00:00:00,Released,2023-09-05 00:00:00,"SHANDONG PHARMACEUTICAL GLASS CO., LTD."
44,34,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,16971,23240106,587,,13487,-,2023-08-01 00:00:00,2023-09-22 00:00:00,274800,Numbers,2023-09-26 00:00:00,Released,2023-09-27 00:00:00,
45,35,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,17148,23240107,588,,13488,-,2023-09-10 00:00:00,2023-09-22 00:00:00,25200,Numbers,2023-09-26 00:00:00,Released,2023-09-27 00:00:00,
46,36,1314-00217-1002,OUTER LABEL RYXON 1g INJECTION - (ND) - Local Pack C/P,M. A. PRINTERS,17146,499,589,,13503,-,2023-09-05 00:00:00,2023-09-26 00:00:00,3000,Numbers,2023-09-27 00:00:00,Released,2023-10-02 00:00:00,
47,37,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,17148,23240112,590,,13508,-,2023-09-10 00:00:00,2023-09-26 00:00:00,237000,Numbers,2023-09-27 00:00:00,Released,2023-09-28 00:00:00,
48,38,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,16971,23240119,591,,13526,-,2023-08-01 00:00:00,2023-09-28 00:00:00,270000,Numbers,2023-10-09 00:00:00,Released,2023-10-09 00:00:00,
49,39,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,17148,23240120,592,,13527,-,2023-09-10 00:00:00,2023-09-28 00:00:00,108000,Numbers,2023-10-09 00:00:00,Released,2023-10-09 00:00:00,
50,40,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,17148,23240122,593,,13528,-,2023-09-10 00:00:00,2023-09-30 00:00:00,162000,Numbers,2023-10-09 00:00:00,Released,2023-10-09 00:00:00,
51,41,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,17147,1441,594,,13567,-,2023-09-10 00:00:00,2023-10-09 00:00:00,272550,Numbers,2023-10-10 00:00:00,Released,2023-10-17 00:00:00,
52,42,1308-00802-2005,CARTON INCETAX 1.00gm INJECTION C/P - (EXPORT) C/P - Export Group 05,METIER IMPRESSIONS (PVT) LTD.,17493,23240139,595,,13597,-,2023-10-10 00:00:00,2023-10-10 00:00:00,32960,Numbers,2023-10-11 00:00:00,Released,2023-10-12 00:00:00,
53,43,1309-00276-2017,INSERT INCETAX INJECTION - (EXPORT) - Export Group 17,METIER IMPRESSIONS (PVT) LTD.,17448,23240140,596,,13608,-,2023-10-10 00:00:00,2023-10-11 00:00:00,43200,Numbers,2023-10-18 00:00:00,Released,2023-10-24 00:00:00,
54,44,1308-00815-2005,CARTON RYXONCEF 1gm INJECTION (Export) C/P - Export Group 05,METIER IMPRESSIONS (PVT) LTD.,17493,23240141,597,,13609,-,2023-10-10 00:00:00,2023-10-11 00:00:00,86200,Numbers,2023-10-12 00:00:00,Released,2023-10-17 00:00:00,
55,45,1309-00336-2005,INSERT RYXONCEF INJECTION (Export) - Export Group 05,METIER IMPRESSIONS (PVT) LTD.,17514,23240152,598,,13649,-,2023-10-10 00:00:00,2023-10-16 00:00:00,80000,Numbers,2023-10-18 00:00:00,Released,2023-10-24 00:00:00,
56,46,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,850,601,140.1,13784,-,2023-10-25 00:00:00,2023-11-07 00:00:00,40000,Numbers,2023-11-08 00:00:00,Released,2023-11-10 00:00:00,
57,47,1111-00001-1001,RUBBER STOPPER BROMO BUTYL GREY 20mm - Common Material,ANHUI HUAFENG PHARMACEUTICAL RUBBER CO. LTD.,16358,HF230919,602,137.1,13794,-,2023-06-06 00:00:00,2023-11-08 00:00:00,1000000,Numbers,2023-11-10 00:00:00,Released,2023-11-13 00:00:00,ANHUI HUAFENG PHARMACEUTICAL RUBBER
58,48,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,853,603,141.1,13797,-,2023-10-25 00:00:00,2023-11-08 00:00:00,39000,Numbers,2023-11-10 00:00:00,Released,2023-11-13 00:00:00,
59,49,1309-00240-2011,INSERT RYXON INJECTION - EXPORT GROUP 11,METIER IMPRESSIONS (PVT) LTD.,17665,23240223,604,,13800,-,2023-11-20 00:00:00,2023-11-08 00:00:00,27000,Numbers,2023-11-10 00:00:00,Released,2023-11-14 00:00:00,
60,50,1110-00004-1001,MOULDED CLEAR GLASS VIAL 15ml - Common Material,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",14410,BPL20230006,605,138.1,13810,-,2022-07-14 00:00:00,2023-11-11 00:00:00,653400,Numbers,2023-11-14 00:00:00,Released,2023-11-15 00:00:00,
61,51,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,878,606,142.1,13834,-,2023-10-25 00:00:00,2023-11-16 00:00:00,50000,Numbers,2023-11-17 00:00:00,Released,2023-11-17 00:00:00,
62,52,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,880,608,143.1,13853,-,2023-10-25 00:00:00,2023-11-21 00:00:00,82000,Numbers,2023-11-21 00:00:00,Released,2023-11-22 00:00:00,
63,53,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,17720,23240248,609,,13856,-,2023-12-05 00:00:00,2023-11-21 00:00:00,189000,Numbers,2023-11-22 00:00:00,Released,2023-11-25 00:00:00,
64,54,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,903,610,144.1,13879,-,2023-10-25 00:00:00,2023-11-23 00:00:00,40000,Numbers,2023-11-24 00:00:00,Released,2023-11-29 00:00:00,
65,55,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,906,611,145.1,13886,-,2023-10-25 00:00:00,2023-11-24 00:00:00,19000,Numbers,2023-11-25 00:00:00,Released,2023-11-30 00:00:00,
66,56,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,17715,23240261,612,,13895,-,2023-12-05 00:00:00,2023-11-24 00:00:00,178200,Numbers,2023-11-27 00:00:00,Released,2023-11-28 00:00:00,
67,57,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,17717,130,613,,13904,-,2023-12-05 00:00:00,2023-11-25 00:00:00,2200,Numbers,2023-11-25 00:00:00,Released,2023-11-25 00:00:00,
68,58,1309-00358-2015,INSERT CEFTRIAXONE (RYXON) INJECTION - (ND) - (Export) - Export Group 15,METIER IMPRESSIONS (PVT) LTD.,17820,23240273,614,,13949,-,2023-11-30 00:00:00,2023-11-30 00:00:00,41550,Numbers,2023-12-02 00:00:00,Released,2023-12-02 00:00:00,
69,59,1308-00627-2001,CARTON RYXON 1gm INJECTION C/P - R1 - (Export) - Export Group 01,METIER IMPRESSIONS (PVT) LTD.,17686,23240281,615,,13961,-,2023-11-20 00:00:00,2023-11-30 00:00:00,12000,Numbers,2023-12-01 00:00:00,Released,2023-12-01 00:00:00,
70,60,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,934,616,146.1,13983,-,2023-10-25 00:00:00,2023-12-04 00:00:00,17000,Numbers,2023-12-05 00:00:00,Released,2023-12-05 00:00:00,
71,61,1308-00627-2001,CARTON RYXON 1gm INJECTION C/P - R1 - (Export) - Export Group 01,METIER IMPRESSIONS (PVT) LTD.,17686,23240287,617,,13988,-,2023-11-20 00:00:00,2023-12-04 00:00:00,24565,Numbers,2023-12-05 00:00:00,Released,2023-12-06 00:00:00,
72,62,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,946,618,147.1,14002,-,2023-10-25 00:00:00,2023-12-05 00:00:00,39500,Numbers,2023-12-06 00:00:00,Released,2023-12-06 00:00:00,
73,63,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,MPI/BPL-082/23,619,148.1,14012,-,2023-08-03 00:00:00,2023-12-06 00:00:00,200000,Numbers,2023-12-07 00:00:00,Released,2023-12-11 00:00:00,
74,64,1307-00222-2017,STICKER INCETAX 1.00gm INJECTION (EXPORT) C/P - Export Group 17,AN TRADERS,17415,1488,623,,14044,-,2023-10-10 00:00:00,2023-12-09 00:00:00,40000,Numbers,2023-12-11 00:00:00,Released,2023-12-13 00:00:00,
75,65,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,17152,MPI/BPL-083/23,624,149.1,14050,-,2023-08-03 00:00:00,2023-12-11 00:00:00,300000,Numbers,2023-12-11 00:00:00,Released,2023-12-13 00:00:00,
76,66,1307-00295-2005,STICKER RYXONCEF 1gm INJECTION (Export) C/P - Export Group 05,AN TRADERS,17415,1487,625,,14051,-,2023-10-10 00:00:00,2023-12-11 00:00:00,85680,Numbers,2023-12-11 00:00:00,Released,2023-12-13 00:00:00,
77,67,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,17713,1490,626,,14070,-,2023-12-05 00:00:00,2023-12-12 00:00:00,260000,Numbers,2023-12-13 00:00:00,Released,2023-12-15 00:00:00,
78,68,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,17940,137,627,,14108,-,2023-12-29 00:00:00,2023-12-18 00:00:00,381,Numbers,2023-12-18 00:00:00,Released,2023-12-20 00:00:00,
79,69,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,17958,23240354,628,,14176,-,2023-12-29 00:00:00,2023-12-28 00:00:00,264700,Numbers,2023-12-29 00:00:00,Released,2024-01-02 00:00:00,
80,70,1314-00217-1002,OUTER LABEL RYXON 1g INJECTION - (ND) - Local Pack C/P,M. A. PRINTERS,17961,203,629,,14239,-,2023-12-29 00:00:00,2024-01-09 00:00:00,5050,Numbers,2024-01-10 00:00:00,Released,2024-01-10 00:00:00,
81,71,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,IFTEKHAR INTERNATIONAL,17613,1053,630,150.1,14240,-,2023-10-25 00:00:00,2024-01-10 00:00:00,43500,Numbers,2024-01-10 00:00:00,Released,2024-01-10 00:00:00,
82,72,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,17959,23240387,631,,14295,-,2023-12-29 00:00:00,2024-01-18 00:00:00,274500,Numbers,2024-01-19 00:00:00,Released,2024-01-19 00:00:00,
83,73,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,19403,143,632,,14319,-,2024-01-26 00:00:00,2024-01-22 00:00:00,1810,Numbers,2024-01-23 00:00:00,Released,2024-01-23 00:00:00,
84,74,1311-00037-1001,MASTER CARTON 07 - (ND) - Common Material,KHAN PACKAGES,19403,144,633,,14320,-,2024-01-26 00:00:00,2024-01-22 00:00:00,3363,Numbers,2024-01-23 00:00:00,Released,2024-01-23 00:00:00,
85,75,1106-00009-1001,FLIP-OFF SEAL BLUE 20mm - Common Material,METAL & POLYMER INDUSTRIES (PVT) LIMITED,18154,MPI/BPL-003/24,634,153.1,14323,-,2024-01-01 00:00:00,2024-01-23 00:00:00,250000,Numbers,2024-01-23 00:00:00,Released,2024-01-24 00:00:00,
86,76,1312-00001-1001,H.D.P.E. SEALING ROLL 50mm - Common Material,MS ENTERPRISES,19460,8116,635,,14336,-,2024-01-29 00:00:00,2024-01-24 00:00:00,180,Kilogram,2024-01-25 00:00:00,Released,2024-01-30 00:00:00,
87,77,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,19410,23240408,638,,14360,-,2024-01-26 00:00:00,2024-01-26 00:00:00,538500,Numbers,2024-01-29 00:00:00,Released,2024-01-31 00:00:00,
88,78,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,19412,23240409,639,,14361,-,2024-02-13 00:00:00,2024-01-26 00:00:00,264000,Numbers,2024-01-29 00:00:00,Released,2024-01-30 00:00:00,
89,79,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,19412,23240411,640,,14368,-,2024-02-13 00:00:00,2024-01-29 00:00:00,252000,Numbers,2024-01-30 00:00:00,Released,2024-01-31 00:00:00,
90,80,1111-00001-1001,RUBBER STOPPER BROMO BUTYL GREY 20mm - Common Material,ANHUI HUAFENG PHARMACEUTICAL RUBBER CO. LTD.,19331,HF231227,641,155.1,14376,-,2023-10-20 00:00:00,2024-01-31 00:00:00,500000,Numbers,2024-02-01 00:00:00,Released,2024-02-02 00:00:00,ANHUI HUAFENG PHARMACEUTICAL
91,81,1307-00239-1002,STICKER RYXON 1gm INJECTION C/P - (ND) - R1 - Local Pack C/P,AN TRADERS,19453,1541,642,,14387,-,2024-02-27 00:00:00,2024-02-01 00:00:00,150000,Numbers,2024-02-02 00:00:00,Released,2024-02-02 00:00:00,
92,82,1309-00244-1001,INSERT RYXON INJECTION - (ND) - R2 (Un-Folded) - Common Material,METIER IMPRESSIONS (PVT) LTD.,19470,23240424,643,,14403,-,2024-02-16 00:00:00,2024-02-02 00:00:00,430800,Numbers,,Receiving Quarantine Lot,,
93,83,1308-00748-1002,CARTON RYXON 1gm INJECTION C/P - (ND) - R2 - Local Pack C/P,METIER IMPRESSIONS (PVT) LTD.,19469,23240422,644,,14404,-,2024-02-16 00:00:00,2024-02-02 00:00:00,479350,Numbers,,Receiving Quarantine Lot,,
98,1,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,ZHUHAI UNITED LABORATORIES TRADING COMPANY LIMITED,15948,CEF221205YZ,544,122.1,12317,-,2023-01-16 00:00:00,2023-01-10 00:00:00,260,Kilogram,2023-01-11 00:00:00,Hold,2023-01-16 00:00:00,ZHUHAI UNITED LABORATORIES CO. LTD CHINA
99,2,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,ZHUHAI UNITED LABORATORIES TRADING COMPANY LIMITED,15948,CEF221205YZ,545,122.2,12318,-,2023-01-16 00:00:00,2023-01-10 00:00:00,240,Kilogram,2023-01-11 00:00:00,Hold,2023-01-11 00:00:00,ZHUHAI UNITED LABORATORIES CO. LTD CHINA
100,3,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,16143,W230163,560,124.1,12841,-,2023-03-10 00:00:00,2023-04-29 00:00:00,240,Kilogram,2023-05-03 00:00:00,Released,2023-05-03 00:00:00,"SINOPHARM WEIQIDA PHARMACEUTICAL CO. ,LTD"
101,4,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,16143,W230163,561,124.2,12842,-,2023-03-10 00:00:00,2023-04-29 00:00:00,110,Kilogram,2023-05-03 00:00:00,Released,2023-05-03 00:00:00,"SINOPHARM WEIQIDA PHARMACEUTICAL CO. ,LTD"
102,5,1002-00001-0000,CEFOTAXIME SODIUM STERILE,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",16729,YK23041511,566,129.1,12960,-,2023-06-15 00:00:00,2023-05-23 00:00:00,50,Kilogram,2023-05-26 00:00:00,Released,2023-05-26 00:00:00,"HENAN KANGDA PHARMACEUTICAL CO.,LTD"
103,6,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,16180,WQD202305166,572,130.1,13085,-,2023-02-13 00:00:00,2023-06-19 00:00:00,250,Kilogram,,Hold,2023-06-22 00:00:00,"SINOPHARM WEIQIDA PHARMACEUTICAL CO. ,LTD"
104,7,1002-00001-0000,CEFOTAXIME SODIUM STERILE,"HENAN KANGDA PHARMACEUTICAL CO.,LTD",16890,YK23061622,578,132.1,13186,-,2023-08-08 00:00:00,2023-07-13 00:00:00,60,Kilogram,2023-07-21 00:00:00,Released,2023-07-21 00:00:00,"HENAN KANGDA PHARMACEUTICAL CO.,LTD"
105,8,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,16889,WQD202308129,584,131.1,13474,-,2023-08-08 00:00:00,2023-09-22 00:00:00,100,Kilogram,2023-10-10 00:00:00,Released,2023-10-10 00:00:00,"SINOPHARM WEIQIDA PHARMACEUTICAL CO. ,LTD"
106,9,1002-00003-0000,CEFTRIAXONE SODIUM STERILE,SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,16889,WQD202308129,585,131.2,13475,-,2023-08-08 00:00:00,2023-09-22 00:00:00,100,Kilogram,2023-09-25 00:00:00,Released,2023-09-25 00:00:00,"SINOPHARM WEIQIDA PHARMACEUTICAL CO. ,LTD"
