CustomerKey,ProductKey,Total Sales,Total Cost,Total Profit,Profit Margin,Year
11008,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11008,478,9.99,3.7363,6.2537,62.60%,2003
11008,480,2.29,0.8565,1.4335,62.60%,2003
11008,561,2384.07,1481.9379,902.1321000000003,37.84%,2003
11009,217,34.99,13.0863,21.9037,62.60%,2003
11009,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11009,359,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11009,480,2.29,0.8565,1.4335,62.60%,2003
11009,575,2384.07,1481.9379,902.1321000000003,37.84%,2003
11010,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11010,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11010,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11010,575,2384.07,1481.9379,902.1321000000003,37.84%,2003
11011,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11011,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11011,489,53.99,41.5723,12.417700000000004,23.00%,2003
11011,574,2384.07,1481.9379,902.1321000000003,37.84%,2003
11012,217,34.99,13.0863,21.9037,62.60%,2003
11012,480,2.29,0.8565,1.4335,62.60%,2004
11012,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11012,529,3.99,1.4923,2.4977,62.60%,2004
11012,537,35,13.09,21.91,62.60%,2003
11013,217,34.99,13.0863,21.9037,62.60%,2003
11013,222,34.99,13.0863,21.9037,62.60%,2004
11013,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11013,529,3.99,1.4923,2.4977,62.60%,2003
11013,537,35,13.09,21.91,62.60%,2004
11014,217,69.98,26.1726,43.8074,62.60%,2003
11014,465,24.49,9.1593,15.330699999999998,62.60%,2003
11014,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11014,529,3.99,1.4923,2.4977,62.60%,2003
11014,537,35,13.09,21.91,62.60%,2003
11015,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11015,485,21.98,8.2205,13.759500000000001,62.60%,2003
11015,486,159,59.466,99.53399999999999,62.60%,2003
11016,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11016,480,2.29,0.8565,1.4335,62.60%,2003
11016,537,35,13.09,21.91,62.60%,2003
11017,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11017,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11017,485,21.98,8.2205,13.759500000000001,62.60%,2003
11017,569,742.35,461.4448,280.90520000000004,37.84%,2004
11018,222,34.99,13.0863,21.9037,62.60%,2004
11018,345,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11018,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11018,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11018,479,8.99,3.3623,5.627700000000001,62.60%,2004
11018,485,21.98,8.2205,13.759500000000001,62.60%,2003
11018,569,742.35,461.4448,280.90520000000004,37.84%,2004
11019,214,34.99,13.0863,21.9037,62.60%,2004
11019,222,34.99,13.0863,21.9037,62.60%,2003
11019,222,34.99,13.0863,21.9037,62.60%,2004
11019,228,49.99,38.4923,11.497700000000002,23.00%,2004
11019,463,24.49,9.1593,15.330699999999998,62.60%,2004
11019,467,24.49,9.1593,15.330699999999998,62.60%,2004
11019,475,69.99,26.1763,43.8137,62.60%,2004
11019,479,8.99,3.3623,5.627700000000001,62.60%,2003
11019,480,2.29,0.8565,1.4335,62.60%,2003
11019,480,9.16,3.426,5.734,62.60%,2004
11019,482,17.98,6.7246,11.255400000000002,62.60%,2003
11019,483,120,44.88,75.12,62.60%,2003
11019,483,120,44.88,75.12,62.60%,2004
11019,491,53.99,41.5723,12.417700000000004,23.00%,2003
11019,491,53.99,41.5723,12.417700000000004,23.00%,2004
11019,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11019,529,11.97,4.4769,7.493100000000001,62.60%,2003
11019,530,4.99,1.8663,3.1237000000000004,62.60%,2003
11019,530,9.98,3.7326,6.247400000000001,62.60%,2004
11019,535,24.99,9.3463,15.643699999999999,62.60%,2004
11019,536,29.99,11.2163,18.773699999999998,62.60%,2004
11019,537,35,13.09,21.91,62.60%,2004
11019,538,21.49,8.0373,13.452699999999998,62.60%,2004
11019,539,49.98,18.6926,31.287399999999998,62.60%,2003
11019,541,28.99,10.8423,18.1477,62.60%,2004
11020,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11020,485,21.98,8.2205,13.759500000000001,62.60%,2003
11021,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11021,485,21.98,8.2205,13.759500000000001,62.60%,2003
11021,487,54.99,20.5663,34.423700000000004,62.60%,2003
11022,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11022,480,2.29,0.8565,1.4335,62.60%,2003
11023,480,2.29,0.8565,1.4335,62.60%,2004
11023,485,21.98,8.2205,13.759500000000001,62.60%,2003
11023,490,53.99,41.5723,12.417700000000004,23.00%,2003
11023,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11023,529,3.99,1.4923,2.4977,62.60%,2004
11023,537,35,13.09,21.91,62.60%,2003
11024,480,2.29,0.8565,1.4335,62.60%,2003
11024,480,2.29,0.8565,1.4335,62.60%,2004
11024,484,7.95,2.9733,4.9767,62.60%,2004
11024,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11024,529,3.99,1.4923,2.4977,62.60%,2004
11024,537,35,13.09,21.91,62.60%,2003
11025,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11025,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11025,472,63.5,23.749,39.751000000000005,62.60%,2003
11025,485,21.98,8.2205,13.759500000000001,62.60%,2003
11025,488,53.99,41.5723,12.417700000000004,23.00%,2004
11025,565,742.35,461.4448,280.90520000000004,37.84%,2004
11026,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11026,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11026,467,24.49,9.1593,15.330699999999998,62.60%,2003
11026,487,54.99,20.5663,34.423700000000004,62.60%,2003
11026,530,4.99,1.8663,3.1237000000000004,62.60%,2004
11026,541,28.99,10.8423,18.1477,62.60%,2004
11026,567,742.35,461.4448,280.90520000000004,37.84%,2004
11027,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11027,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11027,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11027,480,2.29,0.8565,1.4335,62.60%,2004
11027,487,54.99,20.5663,34.423700000000004,62.60%,2003
11027,490,53.99,41.5723,12.417700000000004,23.00%,2003
11027,530,4.99,1.8663,3.1237000000000004,62.60%,2004
11027,541,28.99,10.8423,18.1477,62.60%,2004
11027,571,742.35,461.4448,280.90520000000004,37.84%,2004
11028,349,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11028,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11028,480,2.29,0.8565,1.4335,62.60%,2003
11028,537,35,13.09,21.91,62.60%,2003
11028,569,742.35,461.4448,280.90520000000004,37.84%,2004
11029,222,34.99,13.0863,21.9037,62.60%,2003
11029,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11029,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11029,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11029,479,8.99,3.3623,5.627700000000001,62.60%,2004
11029,489,53.99,41.5723,12.417700000000004,23.00%,2003
11029,569,742.35,461.4448,280.90520000000004,37.84%,2004
11030,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11030,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11030,355,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11030,566,742.35,461.4448,280.90520000000004,37.84%,2004
11031,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11031,357,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11031,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11031,479,8.99,3.3623,5.627700000000001,62.60%,2004
11031,480,2.29,0.8565,1.4335,62.60%,2004
11031,568,742.35,461.4448,280.90520000000004,37.84%,2004
11032,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11032,348,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11032,355,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11032,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11032,478,9.99,3.7363,6.2537,62.60%,2004
11032,480,2.29,0.8565,1.4335,62.60%,2004
11032,485,21.98,8.2205,13.759500000000001,62.60%,2004
11032,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11032,537,35,13.09,21.91,62.60%,2004
11032,570,742.35,461.4448,280.90520000000004,37.84%,2004
11033,222,34.99,13.0863,21.9037,62.60%,2004
11033,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11033,348,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11033,357,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11033,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11033,479,8.99,3.3623,5.627700000000001,62.60%,2004
11033,585,742.35,461.4448,280.90520000000004,37.84%,2004
11034,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11034,361,2294.99,1251.9813,1043.0086999999999,45.45%,2004
11034,489,53.99,41.5723,12.417700000000004,23.00%,2004
11034,567,742.35,461.4448,280.90520000000004,37.84%,2004
11035,348,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11035,353,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11035,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11035,479,8.99,3.3623,5.627700000000001,62.60%,2004
11035,585,742.35,461.4448,280.90520000000004,37.84%,2004
11036,217,34.99,13.0863,21.9037,62.60%,2003
11036,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11037,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11037,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11037,478,9.99,3.7363,6.2537,62.60%,2003
11037,480,2.29,0.8565,1.4335,62.60%,2003
11037,485,21.98,8.2205,13.759500000000001,62.60%,2003
11037,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11037,537,35,13.09,21.91,62.60%,2003
11038,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11038,355,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11038,566,742.35,461.4448,280.90520000000004,37.84%,2004
11039,225,17.98,13.8446,4.135400000000001,23.00%,2004
11039,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11039,355,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11039,480,2.29,0.8565,1.4335,62.60%,2004
11039,483,120,44.88,75.12,62.60%,2004
11039,530,4.99,1.8663,3.1237000000000004,62.60%,2004
11039,541,28.99,10.8423,18.1477,62.60%,2004
11039,572,742.35,461.4448,280.90520000000004,37.84%,2004
11040,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11040,481,8.99,3.3623,5.627700000000001,62.60%,2003
11040,485,21.98,8.2205,13.759500000000001,62.60%,2003
11041,359,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11041,471,63.5,23.749,39.751000000000005,62.60%,2003
11041,485,21.98,8.2205,13.759500000000001,62.60%,2003
11042,234,49.99,38.4923,11.497700000000002,23.00%,2004
11042,355,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11042,568,742.35,461.4448,280.90520000000004,37.84%,2004
11043,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11043,529,3.99,1.4923,2.4977,62.60%,2003
11043,537,35,13.09,21.91,62.60%,2004
11044,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11044,363,2294.99,1251.9813,1043.0086999999999,45.45%,2004
11044,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11044,479,8.99,3.3623,5.627700000000001,62.60%,2004
11044,490,53.99,41.5723,12.417700000000004,23.00%,2004
11044,537,35,13.09,21.91,62.60%,2004
11044,572,742.35,461.4448,280.90520000000004,37.84%,2004
11045,222,34.99,13.0863,21.9037,62.60%,2003
11045,228,49.99,38.4923,11.497700000000002,23.00%,2004
11045,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11045,535,24.99,9.3463,15.643699999999999,62.60%,2003
11046,214,34.99,13.0863,21.9037,62.60%,2004
11046,349,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11046,353,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11046,465,24.49,9.1593,15.330699999999998,62.60%,2004
11046,483,120,44.88,75.12,62.60%,2004
11046,571,742.35,461.4448,280.90520000000004,37.84%,2004
11047,345,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11047,357,2319.99,1265.6195,1054.3704999999998,45.45%,2004
11047,483,120,44.88,75.12,62.60%,2004
11047,567,742.35,461.4448,280.90520000000004,37.84%,2004
11048,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11048,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11048,361,2294.99,1251.9813,1043.0086999999999,45.45%,2004
11048,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11048,478,9.99,3.7363,6.2537,62.60%,2004
11048,484,7.95,2.9733,4.9767,62.60%,2004
11048,489,53.99,41.5723,12.417700000000004,23.00%,2004
11048,585,742.35,461.4448,280.90520000000004,37.84%,2004
11049,214,34.99,13.0863,21.9037,62.60%,2003
11049,480,2.29,0.8565,1.4335,62.60%,2004
11049,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11049,529,3.99,1.4923,2.4977,62.60%,2004
11049,537,35,13.09,21.91,62.60%,2003
11050,222,34.99,13.0863,21.9037,62.60%,2004
11050,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11050,473,63.5,23.749,39.751000000000005,62.60%,2003
11050,485,21.98,8.2205,13.759500000000001,62.60%,2003
11050,566,742.35,461.4448,280.90520000000004,37.84%,2004
11050,587,769.49,419.7784,349.71160000000003,45.45%,2003
11051,222,34.99,13.0863,21.9037,62.60%,2004
11051,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11051,228,49.99,38.4923,11.497700000000002,23.00%,2004
11051,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11051,535,24.99,9.3463,15.643699999999999,62.60%,2004
11052,222,34.99,13.0863,21.9037,62.60%,2003
11052,349,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11052,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11052,480,2.29,0.8565,1.4335,62.60%,2003
11052,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11052,537,35,13.09,21.91,62.60%,2003
11052,575,2384.07,1481.9379,902.1321000000003,37.84%,2003
11053,217,34.99,13.0863,21.9037,62.60%,2003
11053,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11054,214,34.99,13.0863,21.9037,62.60%,2003
11054,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11054,359,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11054,487,54.99,20.5663,34.423700000000004,62.60%,2003
11054,488,53.99,41.5723,12.417700000000004,23.00%,2003
11054,564,2384.07,1481.9379,902.1321000000003,37.84%,2003
11055,217,34.99,13.0863,21.9037,62.60%,2003
11055,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11055,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11055,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11055,479,8.99,3.3623,5.627700000000001,62.60%,2003
11055,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11055,537,35,13.09,21.91,62.60%,2003
11055,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11056,222,34.99,13.0863,21.9037,62.60%,2003
11056,350,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11056,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11056,463,24.49,9.1593,15.330699999999998,62.60%,2003
11056,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11056,478,9.99,3.7363,6.2537,62.60%,2003
11056,489,53.99,41.5723,12.417700000000004,23.00%,2003
11056,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11057,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11057,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11057,482,8.99,3.3623,5.627700000000001,62.60%,2003
11057,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11058,217,34.99,13.0863,21.9037,62.60%,2003
11058,347,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11058,355,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11058,487,54.99,20.5663,34.423700000000004,62.60%,2003
11058,488,53.99,41.5723,12.417700000000004,23.00%,2003
11058,573,2384.07,1481.9379,902.1321000000003,37.84%,2003
11059,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11059,477,9.98,3.7326,6.247400000000001,62.60%,2003
11059,478,9.99,3.7363,6.2537,62.60%,2003
11059,479,8.99,3.3623,5.627700000000001,62.60%,2003
11059,489,53.99,41.5723,12.417700000000004,23.00%,2003
11059,535,24.99,9.3463,15.643699999999999,62.60%,2003
11060,214,34.99,13.0863,21.9037,62.60%,2003
11060,345,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11060,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11060,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11060,479,8.99,3.3623,5.627700000000001,62.60%,2003
11060,575,2384.07,1481.9379,902.1321000000003,37.84%,2003
11061,214,34.99,13.0863,21.9037,62.60%,2003
11061,348,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11061,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11061,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11061,478,9.99,3.7363,6.2537,62.60%,2003
11061,564,2384.07,1481.9379,902.1321000000003,37.84%,2003
11062,222,34.99,13.0863,21.9037,62.60%,2003
11062,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11062,485,21.98,8.2205,13.759500000000001,62.60%,2003
11063,225,8.99,6.9223,2.0677000000000003,23.00%,2003
11063,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11063,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11063,478,9.99,3.7363,6.2537,62.60%,2003
11063,490,53.99,41.5723,12.417700000000004,23.00%,2003
11064,359,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11064,478,9.99,3.7363,6.2537,62.60%,2003
11065,480,2.29,0.8565,1.4335,62.60%,2003
11065,480,2.29,0.8565,1.4335,62.60%,2004
11065,486,159,59.466,99.53399999999999,62.60%,2003
11065,529,3.99,1.4923,2.4977,62.60%,2004
11065,537,35,13.09,21.91,62.60%,2003
11066,222,34.99,13.0863,21.9037,62.60%,2004
11066,480,2.29,0.8565,1.4335,62.60%,2003
11066,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11066,529,3.99,1.4923,2.4977,62.60%,2004
11066,537,35,13.09,21.91,62.60%,2003
11067,222,34.99,13.0863,21.9037,62.60%,2004
11067,463,24.49,9.1593,15.330699999999998,62.60%,2004
11067,480,2.29,0.8565,1.4335,62.60%,2004
11067,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11067,529,3.99,1.4923,2.4977,62.60%,2004
11067,537,35,13.09,21.91,62.60%,2004
11068,467,24.49,9.1593,15.330699999999998,62.60%,2003
11068,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11068,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11068,478,9.99,3.7363,6.2537,62.60%,2004
11068,479,8.99,3.3623,5.627700000000001,62.60%,2003
11068,484,7.95,2.9733,4.9767,62.60%,2004
11068,485,21.98,8.2205,13.759500000000001,62.60%,2004
11068,528,4.99,1.8663,3.1237000000000004,62.60%,2004
11068,535,24.99,9.3463,15.643699999999999,62.60%,2004
11069,345,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11069,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11069,561,2384.07,1481.9379,902.1321000000003,37.84%,2003
11070,346,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11070,361,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11070,480,4.58,1.713,2.867,62.60%,2003
11070,484,7.95,2.9733,4.9767,62.60%,2003
11070,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11070,530,4.99,1.8663,3.1237000000000004,62.60%,2003
11070,537,35,13.09,21.91,62.60%,2003
11070,541,28.99,10.8423,18.1477,62.60%,2003
11070,562,2384.07,1481.9379,902.1321000000003,37.84%,2003
11071,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11071,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11071,478,9.99,3.7363,6.2537,62.60%,2003
11071,479,8.99,3.3623,5.627700000000001,62.60%,2004
11071,480,2.29,0.8565,1.4335,62.60%,2003
11071,488,53.99,41.5723,12.417700000000004,23.00%,2004
11071,535,24.99,9.3463,15.643699999999999,62.60%,2003
11072,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11072,355,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11072,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11072,479,8.99,3.3623,5.627700000000001,62.60%,2003
11072,485,21.98,8.2205,13.759500000000001,62.60%,2003
11072,490,53.99,41.5723,12.417700000000004,23.00%,2003
11072,561,2384.07,1481.9379,902.1321000000003,37.84%,2003
11073,217,34.99,13.0863,21.9037,62.60%,2003
11073,222,34.99,13.0863,21.9037,62.60%,2003
11073,225,8.99,6.9223,2.0677000000000003,23.00%,2004
11073,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11073,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11073,478,9.99,3.7363,6.2537,62.60%,2003
11073,479,8.99,3.3623,5.627700000000001,62.60%,2004
11073,490,53.99,41.5723,12.417700000000004,23.00%,2003
11073,528,4.99,1.8663,3.1237000000000004,62.60%,2003
11073,535,24.99,9.3463,15.643699999999999,62.60%,2003
11074,222,34.99,13.0863,21.9037,62.60%,2003
11074,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11074,478,9.99,3.7363,6.2537,62.60%,2003
11074,479,8.99,3.3623,5.627700000000001,62.60%,2003
11074,480,2.29,0.8565,1.4335,62.60%,2003
11074,484,7.95,2.9733,4.9767,62.60%,2003
11074,535,24.99,9.3463,15.643699999999999,62.60%,2003
11075,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11075,363,2294.99,1251.9813,1043.0086999999999,45.45%,2003
11075,477,4.99,1.8663,3.1237000000000004,62.60%,2003
11075,479,8.99,3.3623,5.627700000000001,62.60%,2003
11075,574,2384.07,1481.9379,902.1321000000003,37.84%,2003
11076,344,3399.99,1912.1544,1487.8355999999999,43.76%,2001
11076,353,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11076,487,54.99,20.5663,34.423700000000004,62.60%,2003
11076,574,2384.07,1481.9379,902.1321000000003,37.84%,2003
11077,214,34.99,13.0863,21.9037,62.60%,2003
11077,351,3374.99,1898.0944,1476.8955999999998,43.76%,2001
11077,357,2319.99,1265.6195,1054.3704999999998,45.45%,2003
11077,487,54.99,20.5663,34.423700000000004,62.60%,2003
11077,576,2384.07,1481.9379,902.1321000000003,37.84%,2003
11078,214,34.99,13.0863,21.9037,62.60%,2003
11078,217,34.99,13.0863,21.9037,62.60%,2003
11078,217,34.99,13.0863,21.9037,62.60%,2004
11078,231,99.98,76.9846,22.995400000000004,23.00%,2003
11078,467,24.49,9.1593,15.330699999999998,62.60%,2003
11078,474,69.99,26.1763,43.8137,62.60%,2004
11078,477,4.99,1.8663,3.1237000000000004,62.60%,2004
11078,479,8.99,3.3623,5.627700000000001,62.60%,2004
11078,480,4.58,1.713,2.867,62.60%,2004
11078,481,8.99,3.3623,5.627700000000001,62.60%,2003
11078,483,120,44.88,75.12,62.60%,2004
11078,484,7.95,2.9733,4.9767,62.60%,2003
11078,485,21.98,8.2205,13.759500000000001,62.60%,2003
11078,486,159,59.466,99.53399999999999,62.60%,2004
11078,490,53.99,41.5723,12.417700000000004,23.00%,2004
11078,528,9.98,3.7326,6.247400000000001,62.60%,2003
