Req. Status,Fusion PR. No,PO. No,PR. Line No,Department,PR No,PR Date,Item Code,Item Name,UOM,Qty,Delivery Date,Buyer,Description
APPROVED,429,,1,,125,24/05/18,5234-00124-0000,ALUMINIUM FIXED FRAME,SFT,123.25,15/05/18,,Required Aluminum Partition at Male and Female change room
APPROVED,6613,,1,Civil,1739,3/12/2018,5234-00009-0000,"CHISEL SIZE: 10""",NOS,4,6/12/2018,,REQUIRED FOR CIVIL WORKS 
APPROVED,8999,,5,Warehouse,2451,16/04/19,5234-00094-0000,WINDING STICK,KGs,3,23/04/19,,Required for Engineering Department and used for Motor Winding 
APPROVED,8772,,5,Utilities,2383,10/4/2019,5234-00112-0000,SERVICE PUMP 1200 WATT ( FOR A/C ),NOS,2,3/4/2019,,REQUIRED FOR HVAC MAINTENANCE
APPROVED,12062,,4,,3356,30/09/19,5234-00259-0000,TUBE S.S. 316L 38MM,NOS,80,2/10/2019,,PIPING REQUIRED FOR TRANSFER OF MANUFACTURED LIQUID
APPROVED,5297,,2,Q.C Lab (Analytical),1319,12/10/2018,5234-00159-0000,DOOR CLOSER FOR ALUMINIUM DOOR,NOS,2,18/10/18,,REQUIRED FOR MAINTENANCE OF QC-ANALYTICAL SECTION CABINETS/ WARDROBE
APPROVED,8817,,3,Civil,2428,15/04/19,5234-00164-0000,HANDLE S.S FOR DOOR,NOS,11,8/4/2019,,REQUIRED FOR WAREHOUSE RECEIVING BAY (7-M.S DOORS)
APPROVED,6714,,1,Admin Common,1765,4/12/2018,5234-00195-0000,BODY BELT,NOS,2,10/12/2018,,ARRANGED REFILLING OF FIRE EXTINGUISHER AT BROOKES/OFFSITE WAREHOUSE.
APPROVED,6349,,1,Engineering (Common),1628,15/11/18,5234-00201-0000,HYDRAULIC KIT FOR BISHAMON HAND PALLET TRUCK,NOS,12,22/11/18,,REQUIRED FOR COMPLETE MAINTENANCE OF HAND PELLET TRUCKS OF DIFFERENT DEPARTMENTS.
APPROVED,7910,,29,Cephalosporin Packaging,2196,18/03/19,5234-00202-0000,SPACER S.S. LENGTH: 111mm FOR 24ml VIAL ( PADDING COLUMN ),NOS,12,5/3/2019,,REQUIRED FOR HVAC & ELECTRICAL DEPARTMENT.
APPROVED,11857,,4,Directors,3755,31/10/19,5234-00222-0000,SPRAY PAINT WHITE,NOS,10,20/09/19,,SPRAY PAINT WHITE
APPROVED,7910,,14,Admin Common,2196,18/03/19,5234-00232-0000,GLAND DOORI FOR DONKY PUMP,NOS,1,31/01/19,,REQUIRED FOR HVAC & ELECTRICAL DEPARTMENT.
APPROVED,3368,,2,Directors,731,1/8/2018,5234-00240-0000,THERMOSTAT ASSEMBLY OF GEYSER,NOS,2,7/8/2018,,Required for 35/h
APPROVED,13575,,1,Utilities,4330,27/12/19,5234-00308-0000,PATTI S.S. SIZE: THICKNESS: 3MM X 25MM,RFT,10,24/12/19,,REQUIRED FOR CONNECTION OF CONDENSATE RETURN LINE TO BOILER
APPROVED,26155,,82,,5981,3/10/2022,5301-00015-0000,RECONDITIOND A/C COMPEESSOR 2.5 TON 81 LRA 1 PHASE,NOS,2,3/10/2022,,
APPROVED,19315,,23,,5170,15/03/21,5302-00001-0000,"DRYER 3/8""",NOS,7,15/03/21,,
APPROVED,7945,,14,Directors,2194,18/03/19,5303-00001-0000,GAS REFRIGERANT R-22,NOS,3,28/02/19,,REQUIRED FOR 35/HAlready Purchased
APPROVED,6246,,3,Pellet Manufacturing (Common),1631,15/11/18,5304-00007-0000,"INSULATION THERMOPORE 1"" THICK",SFT,112,20/11/18,,REQUIRED FOR PALLET AREA (HVAC/DUCTING WORK DONE)
APPROVED,6932,,1,Utilities,1837,11/12/2018,5304-00030-0000,"INSULATION PIPE 2"" THICKNESS, 64 DENSITY",RFT,32,18/12/18,,"REQUIRED FOR INSULATION AND GI CLADDING FOR AHU 1,2 and 5 at PLOT-58 "
APPROVED,5515,,1,Engineering (Common),1379,19/10/18,5351-00012-0000,SOLDERING IRON SMALL SIZE,NOS,1,24/10/18,,FOR ENGINEERING USE.
APPROVED,7922,,39,Engineering (Common),2203,18/03/19,5351-00018-0000,GRIP PLIER,NOS,1,4/3/2019,,REQUIRED FOR FABRICATION OF BASE FOR ENCAPSULATION PACKAGING UNIT
APPROVED,7922,,71,Engineering (Common),2203,18/03/19,5351-00030-0000,SOCKET WRENCH,SET,1,4/3/2019,,REQUIRED FOR FABRICATION OF BASE FOR ENCAPSULATION PACKAGING UNIT
APPROVED,11957,,1,Electrical,3295,23/09/19,5351-00031-0000,SPANNER SET COMBINATION (RING & FIX),SET,1,27/09/19,,REQUIRED TOOLS FOR MOTOR WINDING WORKSHOP.
APPROVED,7729,,1,Packaging (Common),2096,14/01/19,5354-00012-0000,DIE CUTTER ALU/ALU CHANGE PART FOR CHINA BLISTER PACK MACHINE,NOS,1,18/01/19,,REQUIRED FOR COMPLETE ALU/ALU CHANGE PARTS FOR MISONIL 50MG  CHINA BLISTER MACHINE.
APPROVED,6608,,1,Warehouse,1724,30/11/18,5404-00045-0000,"ELBOW S.S. 316L SIZE: 1"" 90 DEGREE",NOS,8,6/12/2018,,REQUIRED FOR P.W LINE OF WAREHOUSE UTENSIL WASHING.
APPROVED,3307,,4,Utilities,698,30/07/18,5405-00013-0000,PIPE G.I SIZE: 3/4'' (12 GUAGE),RFT,340,6/8/2018,,REQUIRED FOR COMPRESSED AIR LINE DUE TO NAL PROJECT.
APPROVED,29295,,1,Mechanical,6864,28/11/23,5405-00015-0000,"PIPE M S SIZE:1-1/2"" X 1-1/2"" 16 GAUGE",RFT,120,8/11/2023,,REQUIRED FOR CHILLER UNIT DISTRIBUTION BOARD SIDE COVERING
APPROVED,5290,,1,Finance (Common),1322,12/10/2018,5405-00016-0000,"PIPE M S SIZE: 1-1/2"" X 1-1/2"" 16 GAUGE",RFT,300,17/10/18,,REQUIRED FOR FABRICATION OF RACK IN FINANCE RECORD ROOM
APPROVED,,,43,,3562,16/10/19,5407-00014-0000,"VALVE SOCKET SIZE: 3/4"" UPVC",NOS,13,16/10/19,,
APPROVED,4387,,1,Directors,1087,18/09/18,5405-00041-0000,"PIPE NYLON SIZE: 1""",RFT,330,17/09/18,,PIPE NYLON SIZE: 1''
APPROVED,19107,,52,,5155,27/02/21,6205-00012-0000,RADIATOR COOLANT,NOS,28,27/02/21,,
APPROVED,1601,,8,Admin Common,464,27/06/18,6205-00014-0000,CLUTCH PLATE SET,NOS,1,4/7/2018,,ARRANGED PARTS FOR SUZUKI MEHRAN # AXE-715 (MR. REHAN ISLAM)
APPROVED,29166,,4,,6735,2/10/2023,6151-00004-0000,Dry Mop Cotton,NOS,30,2/10/2023,,
APPROVED,7909,,576,Canteen,2221,18/03/19,6151-00030-0000,TISSUE PAPER BOX,NOS,10,31/01/19,,Cash purchased for canteen from 14-jan-19 to 18-jan-19
APPROVED,3957,,2,Admin Common,910,29/08/18,6151-00032-0000,HAND WASH TEPOL,LTR,500,4/9/2018,,REQUIRED HAND WASH/FLOOR WASH TEPOL FOR THE MONTH OF SEPTEMBER 2018.
APPROVED,,,1,,7072,2/1/2024,6153-00020-0000,CANVAS SHOES GENTS,PRS,90,9/1/2024,Abuzar Hasani,Required shoes for the period Jan-Jun 2024
APPROVED,19315,,4,,5170,15/03/21,6202-00007-0000,AIR FILTER SUZUKI SWIFT,NOS,30,15/03/21,,
APPROVED,7509,,6,Admin Common,2003,2/1/2019,6202-00015-0000,TRANSMISSION OIL FILTER,NOS,1,8/1/2019,,"ARRANGED AUTO PARTS FOR VEHICLE SUZUKI MEHRAN AXF-205 Mr. AFZAL IMAM (129,000KM)."
APPROVED,74,,3,,184,24/05/18,6204-00001-0000,TYRE RADIAL,NOS,4,24/04/18,,Replacement of Tyres in Brookes Fleet 
APPROVED,8165,,100,Admin Common,2220,18/03/19,6205-00023-0000,WEATHERS STRIP SIDE WINDOW,NOS,1,21/02/19,,Fixing quarter glass of Suzuki Mehran BMU-690 (Ms.Nabila) 17788
APPROVED,6512,,4,Admin Common,1692,26/11/18,6205-00036-0000,FUEL PUMP,NOS,1,3/12/2018,,ARRANGED AUTO PARTS FOR ADMIN POOL VEHICLE SUZUKI PICK UP (76500KM).
APPROVED,8165,,30,Admin Common,2220,18/03/19,6205-00040-0000,ELEMENT ASSY AIR CLEANER,NOS,1,22/02/19,,Fixing quarter glass of Suzuki Mehran BMU-690 (Ms.Nabila) 17788
APPROVED,6709,,1,Admin Common,1746,3/12/2018,6205-00042-0000,BUMPER REAR,NOS,1,10/12/2018,,INSURANCE CLAIM OF VEHICLE SUZUKI MEHRAN BJF-188 Mr. FAROOQ HASSAN (22518KM).
APPROVED,179,,10,,105,24/05/18,6205-00042-0000,BUMPER REAR,NOS,1,14/05/18,,Arranged Parts of Toyota Altis for Brookes Fleet  
APPROVED,8165,,64,Admin Common,2220,18/03/19,6205-00044-0000,MIRROR ASSY,NOS,1,19/02/19,,Fixing quarter glass of Suzuki Mehran BMU-690 (Ms.Nabila) 17788
APPROVED,179,,19,,105,24/05/18,6205-00044-0000,MIRROR ASSY,NOS,1,15/05/18,,Arranged Parts of Toyota Altis for Brookes Fleet  
APPROVED,179,,6,,105,24/05/18,6205-00045-0000,BRAKE DISC,NOS,1,14/05/18,,Arranged Parts of Toyota Altis for Brookes Fleet  
APPROVED,29167,,2,Admin Common,6890,28/11/23,6205-00055-0000,NUT FOR VEHICLE,NOS,2,24/10/23,,ARRANGED REPAIR & MAINTENANCE OF BROOKES VEHICLES
APPROVED,1599,,4,Admin Common,463,27/06/18,6205-00070-0000,CLUTCH WIRE FOR VEHICLE,NOS,1,4/7/2018,,ARRANGED PARTS FOR SUZUKI MEHRAN # AXE-714 (MR. YASIR ALI KHAN)
APPROVED,4468,,1,Admin Common,1139,25/09/18,6254-00010-0000,COTTON WASTE,DZN,2,18/09/18,,REQUIRED FOR BROOKES MARKETING OFFICE PAINT WORK
APPROVED,26475,,1,Utilities,6141,9/1/2023,6254-00015-0000,GAS ACETYLENE CYLINDER (BIG),NOS,2,21/11/22,,URGENTLY REQUIRED FOR HVAC WORKSHOP
APPROVED,9585,,1,Utilities,2618,21/05/19,6254-00015-0000,GAS ACETYLENE CYLINDER (BIG),NOS,1,22/05/19,,REQUIRED FOR GAS-WELDING / HVAC MAINTENANCE WORKS
APPROVED,28697,,5,Mechanical,6676,7/9/2023,6254-00025-0000,GAS ARGON CYLINDER FOR WELDING,NOS,1,14/08/23,,REQUIRED FOR NEW CARRIER CHILLER FOR STERILE.
APPROVED,5430,,1,Utilities,1399,19/10/18,6256-00001-0000,"MEMBRANE MODEL: CPA-3, BRAND: HYDRANAUTICS (USA)",NOS,6,22/10/18,,REQUIRED FOR RO PLANT MAINTENANCE
APPROVED,4906,,1,Quality Control (Common),1186,28/09/18,6256-00002-0000,"MEMBRANE FILTER 0.45 MICRON, 13 MM, (HVLP-013-00) MILLIPORE",NOS,50,3/10/2018,Atif Salam,MEMBRANE FILTER 0.45? 13 MM (HVLP-013-00) MILLIPORE
APPROVED,6517,,1,Logistics,1686,26/11/18,6254-00122-0000,BOX THERMOPORE SIZE: 500 x 375 x 205mm,NOS,"3,000.00",3/12/2018,,BOX THERMOPORE SIZE: 500 X 375 X 205MMFor packing of Temperature Controlled products. 
APPROVED,4821,,1,Logistics,1131,24/09/18,6254-00122-0000,BOX THERMOPORE SIZE: 500 x 375 x 205mm,NOS,"2,000.00",1/10/2018,,PLASTIC PACKING STRIP
APPROVED,29273,,1,Admin Common,6978,28/11/23,6255-00001-0000,OIL PAINT,NOS,4,3/11/2023,,ARRANGED PAINT FOR BROOKES.
APPROVED,6110,,4,Civil,1605,14/11/18,6255-00001-0000,OIL PAINT,NOS,4,15/11/18,,REQUIRED PAINT FOR PRODUCTION AREAS
APPROVED,7053,,1,Non Sterile - Solid (Common),2016,2/1/2019,6255-00003-0000,GYPSUM FALSE CEILLING,SFT,325,20/12/18,,REQUIRED FOR ENCAPSULATION AREA PLOT-58 
APPROVED,29440,,4,Admin Common,6845,28/11/23,6255-00023-0000,OIL PAINT GREY,BKT,10,21/11/23,,"REQUIRED PAINT FOR BROOKES.(AS PREVIOUS POs # 17048 , 16969 , 17508 have cancelled by SCD)."
APPROVED,29440,,7,Admin Common,6845,28/11/23,6255-00024-0000,OIL PAINT WHITE,NOS,15,21/11/23,,"REQUIRED PAINT FOR BROOKES.(AS PREVIOUS POs # 17048 , 16969 , 17508 have cancelled by SCD)."
APPROVED,6110,,5,Civil,1605,14/11/18,6255-00026-0000,OIL PAINT OFF WHITE,NOS,6,15/11/18,,REQUIRED PAINT FOR PRODUCTION AREAS
APPROVED,6259,,2,Engineering (Common),1635,15/11/18,6254-00049-0000,"SCALE & CORROSION INHIBITOR, ACCEPTA 0019",KGs,60,20/11/18,,REQUIRED FOR ABSORPTION CHILLER
APPROVED,26483,,2,Admin Common,6179,9/1/2023,6254-00063-0000,PETROL,LTR,13.3,21/11/22,,ARRANGED  REPAIR AND MAINTENANCE OF BROOKES VEHICLE FLEET
APPROVED,9015,,1,Directors,2629,21/05/19,6254-00063-0000,PETROL,LTR,40,24/04/19,,Arranged Petrol for Khan Sahib's vehicle during the month of April-19
APPROVED,,,11,Utilities,7084,3/1/2024,6254-00065-0000,DIESEL,LTR,"5,000.00",5/1/2024,Atif Salam,For Standby Generators
APPROVED,,,1,Utilities,7084,3/1/2024,6254-00065-0000,DIESEL,LTR,"20,000.00",5/1/2024,Atif Salam,For Standby Generators
APPROVED,29123,,3,Utilities,6949,28/11/23,6254-00065-0000,DIESEL,LTR,"2,500.00",16/10/23,,"REQUIRED FOR DIESEL GENERATOR , BOILER AND CEPH CHILLER."
APPROVED,26948,,6,Engineering (Common),6446,5/6/2023,6254-00065-0000,DIESEL,LTR,"5,000.00",20/01/23,,REQUIRED FOR COMPANY GENERATORS/ BOILER/ CHILLER.
APPROVED,29197,,2,Admin Common,6980,28/11/23,6254-00071-0000,WATER TANKER,NOS,1,25/10/23,,ARRANGED WATER TANKER FOR OFF SITE WARE HOUSE IN THE MONTH OF OCTOBER 2023
APPROVED,29366,,3,Admin Common,6887,28/11/23,6254-00071-0000,WATER TANKER,NOS,2,14/11/23,,ARRANGED TANKER FOR BROOKES PHARMA DURING MONTH OF OCT-2023.
APPROVED,29128,,3,Admin Common,6895,28/11/23,6254-00071-0000,WATER TANKER,NOS,20,17/10/23,,Arrange water tanker for Brookes Pharma & Offsite warehouse during the month of Sep-2023.
APPROVED,27786,,4,Admin Common,6457,5/6/2023,6254-00071-0000,WATER TANKER,NOS,1,17/05/23,,ARRANGED PAKISTAN FLAGS FOR BROOKES ROUNDABOUT 
APPROVED,10749,,1,Admin Common,2934,15/07/19,6254-00071-0000,WATER TANKER,NOS,1,16/07/19,,ARRANGED WATER TANKER FOR MARKETING OFFICE ON CASH IN JULY
APPROVED,7694,,2,Admin Common,2081,11/1/2019,6254-00071-0000,WATER TANKER,NOS,10,17/01/19,,ARRANGED WATER TANKER  AT BROOKES IN THE MONTH OF DECEMBER  2018.
APPROVED,29463,,1,Sterile (Common),6922,28/11/23,6254-00076-0000,GAS LIQUID NITROGEN,LTR,"1,500.00",21/11/23,,Gas Liquid Nitrogen for smooth production 
APPROVED,26865,,1,Sterile (Common),6119,9/1/2023,6254-00076-0000,GAS LIQUID NITROGEN,LTR,"10,000.00",10/1/2023,,Nitrogen gas required for filling and manufacturing of sterile products.
APPROVED,7917,,3,Sterile (Common),2217,18/03/19,6254-00076-0000,GAS LIQUID NITROGEN,LTR,"5,000.00",11/2/2019,,For cephalosporin area
APPROVED,29522,,3,Sterile (Common),6879,28/11/23,6254-00078-0000,GAS LIQUID OXYGEN FOR XL-45,CBM,"10,000.00",24/11/23,,Oxygen gas required for smooth production 
APPROVED,12070,,2,Sterile (Common),3374,1/10/2019,6254-00078-0000,GAS LIQUID OXYGEN FOR XL-45,CBM,"10,000.00",8/10/2019,,For smooth production in sterile department
APPROVED,29121,,6,Networking,6952,28/11/23,6303-00066-0000,IMAGING DRUM HP 19A LASERJET,NOS,3,12/10/2023,,TONERS REQUIRED
APPROVED,,,10,,7272,30/01/24,6303-00074-0000,RIBBON PRINTER MODEL: ERC-09 BRAND: EPSON,NOS,10,6/2/2024,Atif Salam,TONER FOR I.T INVENTORY
APPROVED,8028,,2,Quality Control (Common),2211,18/03/19,6401-00001-0000,ACETIC ACID,LTR,25,16/02/19,,BP Impurity Standards for TEZOLE CREAM
APPROVED,26637,,6,Quality Control (Common),6164,9/1/2023,6401-00002-0000,ACETONITRILE,LTR,300,8/12/2022,Atif Salam,METHANOL HPLC GRADE
APPROVED,5357,,5,Networking,1356,16/10/18,6301-00009-0000,MOUSE USB,NOS,30,19/10/18,,TO MAINTAIN INVENTORY
APPROVED,1552,,3,Admin Common,448,26/06/18,6301-00013-0000,CAMERA BOX DAUHA (HAC-HFW 1200 RP),NOS,10,3/7/2018,,"ALREADY PURCHASED PARTS OF CCTV AGAINST REQ # 172605 , 173217 & 173642 FOR OFFSITE WAREHOUSES & EMERGENCY EXITS OF BROOKES PHARMA "
APPROVED,1552,,10,Admin Common,448,26/06/18,6302-00021-0000,HARD DISK 1TB SATA,NOS,1,3/7/2018,,"ALREADY PURCHASED PARTS OF CCTV AGAINST REQ # 172605 , 173217 & 173642 FOR OFFSITE WAREHOUSES & EMERGENCY EXITS OF BROOKES PHARMA "
APPROVED,28473,,6,Networking,6677,7/9/2023,6303-00024-0000,TONNER FOR HP LASERJET PRO 400 M401N (80A),NOS,5,26/07/23,,Toners Required
APPROVED,,,1,,7272,30/01/24,6303-00025-0000,TONER HP LASERJET PRO 402 M402DN (26A),NOS,30,2/2/2024,Atif Salam,TONER FOR I.T INVENTORY
APPROVED,28225,,4,Quality Control (Common),6540,3/7/2023,6401-00014-0000,METHANOL HPLC GRADE,LTR,260,21/06/23,,New Requisition raised of all pending items of 2022as per request of SCD
APPROVED,8028,,25,Quality Control (Common),2211,18/03/19,6401-00014-0000,METHANOL HPLC GRADE,LTR,120,16/02/19,,BP Impurity Standards for TEZOLE CREAM
APPROVED,6589,,3,Quality Control (Common),1769,4/12/2018,6401-00014-0000,METHANOL HPLC GRADE,LTR,120,5/12/2018,,METHANOL HPLC GRADE
APPROVED,7343,,2,Quality Control (Common),1945,19/12/18,6402-00018-0000,IODINE BROMIDE (MONOOMIDE),GMS,100,26/12/18,,TIRON
APPROVED,5342,,5,Quality Control (Common),1316,11/10/2018,6402-00037-0000,SODIUM THIOSULFATE 5 H2O,GMS,10,18/10/18,Atif Salam,SODIUM SULPHATE ANHYDROUS
APPROVED,28225,,9,Quality Control (Common),6540,3/7/2023,6402-00040-0000,TETRA HEPTYL AMMONIUM BROMIDE,GMS,200,21/06/23,,New Requisition raised of all pending items of 2022as per request of SCD
APPROVED,13327,,2,Sterile (Common),4183,12/12/2019,6405-00003-0000,FILTER 60MM GLASS PIPELINE G-2,NOS,12,9/12/2019,,For sterile liquid section
