Document Status,Line Status,Business Unit,PO,Created By,Creation Date,Vendor Name,Vendor Site Code,Ship To Location,Bill To Location,Term Name,Currency Code,Rate Type,Rate Date,Rate,DFF By Pass,DFF Purchasing For,DFF Directors Purchase,Attribute Category,DFF Remarks Or Indent,Line Num,Quantity,Received Quantity,Received Amount,Invoice Quantity,Invoice Amount,Unit Price,Line Item,Item Description,UOM,Requisition Number,Promised Date,Need By Date,Tax Name,Line Attribute Category,DFF Manufacturer,DFF Item Spec,DFF Department,DFF Line Remarks,Item Type,Requester,Dist Attribute Category,DFF Requisition Type,DFF Asset location,DFF Project,DFF Remarks,DFF Related Asset Tag Number,DFF Department.1,GCC Account,Received Quantity %,Balance Quantity
OPEN,OPEN,Brookes Pharma,10254.0,Atif Salam,2020-12-24,HAMZA MOULD ENGINEERING,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,50% ADVANCE & 50 % AFTER DELIVERY.,PKR,,,,,,,Local Purchase,,1.0,1.0,0.0,0.0,0.0,0.0,270000.0,3009-00003-0000,REPAIR AND MAINTENANCE - PYODINE CAP MOULD 8 CAVITY,NOS,18214.0,2021-03-31,2020-12-22,,Manufacturer Detail,,,, ,EXPENSE,Muhammad Haris Ahsan,Requisition Distribution DFF,Others,,,,,Engineering (Common) ,11-2401-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10291.0,Hamza Ali Mansoor,2020-12-29,Syed Arshad Ali,CASH PUR,Brookes HO and IT Org,Brookes HO and IT Org,Cash,PKR,,,,,,,Local Purchase,ARRANGED REPAIR & MAINTENANCE FOR WAREHOUSE TRUCK JZ-3732,1.0,1.0,0.0,0.0,0.0,0.0,7335.0,3005-00029-0000,REPAIR AND MAINTENANCE - VEHICLE ,JOB,18188.0,2020-12-12,2020-12-12,,Manufacturer Detail,,JZ-3732,, ,EXPENSE,Sidra Ejaz,Requisition Distribution DFF,Others,,,,,Admin Common ,11-0002-82012410-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10400.0,Atif Salam,2021-01-08,DELTA CONTROL AUTOMATION CO (PRIVATE) LIMITED,VALIDATION SER.,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED VALIDATION OF STERILIZATION EQUIPMENT AS PER REQUEST OF VALIDATION DEPARTMENT,2.0,3.0,2.0,36800.0,2.0,36800.0,18400.0,3006-00051-0000,CALIBRATION CHARGES!-DRY HEAT STERILIZER (DHS) VALIDATION!-01 CYCLE (EMPTY) RUN!-02 CYCLE (LOADED) RUN,JOB,18136.0,2021-01-30,2021-01-04,INPUT_ST_NR_13%,,,,, ,EXPENSE,Muhammad Junaid,Requisition Distribution DFF,Others,,,,,Sterile (Common) ,11-1201-82011706-0000-00-0000-00-000,66.66666666666666,1.0
OPEN,OPEN,Brookes Pharma,10400.0,Atif Salam,2021-01-08,DELTA CONTROL AUTOMATION CO (PRIVATE) LIMITED,VALIDATION SER.,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED VALIDATION OF STERILIZATION EQUIPMENT AS PER REQUEST OF VALIDATION DEPARTMENT,3.0,6.0,5.0,69000.0,5.0,69000.0,13800.0,3006-00051-0000,CALIBRATION CHARGES!-AUTOCLAVE VALIDATION!-01 CYCLE (EMPTY) RUN!-02 CYCLE (LOADED) RUN,JOB,18136.0,2021-01-30,2021-01-04,INPUT_ST_NR_13%,,,,, ,EXPENSE,Muhammad Junaid,Requisition Distribution DFF,Others,,,,,Sterile (Common) ,11-1201-82011706-0000-00-0000-00-000,83.33333333333334,1.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,4.0,2.0,0.0,0.0,0.0,0.0,2050.0,3005-00008-0000,"LABOUR CHARGES - Supply & Installation Of Toilet Paper Holder, Complete In All Respect.!-",NOS,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,2.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,9.0,130.0,91.0,31941.0,91.0,31941.0,351.0,3007-00034-0000,"PLUMBING WORKS - 9.A - Supply And Installation Of Upvc Class D Piping 1-1/2"" Dia!-",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,70.0,39.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,10.0,150.0,0.0,0.0,0.0,0.0,527.0,3007-00034-0000,"PLUMBING WORKS - 9.B - Supply And Installation UPVC Class D 2"" Dia Pipe",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,150.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,12.0,1.0,0.0,0.0,0.0,0.0,6175.0,3005-00008-0000,"LABOUR CHARGES - 12.A- Supply And Installation Of S.S Clean-Outs, Trap 3"" Dia",JOB,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,13.0,5.0,4.0,24700.0,4.0,24700.0,6175.0,3005-00008-0000,"LABOUR CHARGES - 12.B- Supply And Installation Of Ss Clean-Outs, Trap 4"" Dia",JOB,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,80.0,1.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,14.0,3.0,0.0,0.0,0.0,0.0,9100.0,3005-00008-0000,"LABOUR CHARGES - 12.C- Supply And Installation Of Ss Clean-Outs, Trap 6"" Dia",JOB,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,3.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,15.0,40.0,0.0,0.0,0.0,0.0,2106.0,3007-00034-0000,"PLUMBING WORKS - 15 A- Supply And Installation Of PVC Piping For External Drainage System In All Respects (6"")",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,40.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,16.0,400.0,0.0,0.0,0.0,0.0,2630.0,3007-00034-0000,"PLUMBING WORKS - 15 B-Supply And Installation Of Pvc Piping For External Drainage System In All Respects (8"")",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,400.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,17.0,130.0,0.0,0.0,0.0,0.0,390.0,3007-00034-0000,"PLUMBING WORKS - 16 A-Supply And Installation Of PVC Pipes For Cold Water System, Including All Fittings, Buried In Floor And Walls (1/2"" Dia)",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,130.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,19.0,160.0,108.0,57456.0,108.0,57456.0,532.0,3007-00034-0000,"PLUMBING WORKS - 16 C- Supply And Installation Of PVC Pipes For Cold Water System, Including All Fittings, Buried In Floor And Walls (1"" Dia)",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,67.5,52.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,20.0,20.0,0.0,0.0,0.0,0.0,650.0,3007-00034-0000,"PLUMBING WORKS - 16 -D: Supply And Installation Of PVC Pipes For Cold Water System, Including All Fittings, Buried In Floor And Walls (1-1/4"" Dia)",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,20.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,21.0,20.0,0.0,0.0,0.0,0.0,720.0,3007-00034-0000,"PLUMBING WORKS - 16 E-Supply And Installation Of Pvc Pipes For Cold Water System, Including All Fittings, Buried In Floor And Walls (1-1/2"" Dia)",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,20.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,23.0,10.0,0.0,0.0,0.0,0.0,3185.0,3005-00008-0000,"LABOUR CHARGES - 17 A- Gate Valves (3/4"")",JOB,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,10.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,25.0,2.0,0.0,0.0,0.0,0.0,11700.0,3005-00008-0000,"LABOUR CHARGES : 17 C-Gate Valves 2"" Dia",NOS,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,2.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,26.0,10.0,0.0,0.0,0.0,0.0,51350.0,3005-00008-0000,LABOUR CHARGES - 18- Making Of Man Holes With Cover As Per Drawings Complete In All Respect,NOS,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,10.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,27.0,3.0,0.0,0.0,0.0,0.0,30000.0,3005-00008-0000,LABOUR CHARGES - 19- Shop Drawings!-,SET,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,3.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,28.0,3.0,0.0,0.0,0.0,0.0,30000.0,3005-00008-0000,LABOUR CHARGES - 20- As Built Drawings CD,SET,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,3.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,29.0,1.0,0.0,0.0,0.0,0.0,97500.0,3005-00008-0000,LABOUR CHARGES - 21-Testing Commissioning Of Complete Systems,JOB,18493.0,2021-01-30,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010607-0000-00-0000-00-000,0.0,1.0
OPEN,OPEN,Brookes Pharma,10594.0,Atif Salam,2021-01-28,GULF CONSTRUCTORS (PRIVATE) LIMITED,OTHER SERVICES,Brookes HO and IT Org,Brookes HO and IT Org,30 Days,PKR,,,,,,,Local Purchase,REQUIRED FOR PLUMBING WORKS AT NAL PROJECT (1st and 2nd Floor) TOILETS CONSTRUCTION - WORK COMPLETED,30.0,100.0,0.0,0.0,0.0,0.0,936.0,3007-00034-0000,"PLUMBING WORKS - 9 C-Supply And Installation Of U-Pvc Class D Piping Including Fitting For Soil (3"" Dia)",RFT,18493.0,2021-01-07,2021-01-30,INPUT_ST_NR_8%,Manufacturer Detail,,,, ,EXPENSE,Syed Muhammad Khubaib Tariq,Requisition Distribution DFF,CWIP,,001,,,Sterile (Common) ,11-1201-82010601-0000-00-0000-00-000,0.0,100.0
